country,country_name,indicator,indicator_name,year,frequency,value,unit,price_basis,base_year,status,source_status,source_indicator,source,source_url,source_file,raw_row,footnote,data_source,reference_year,methodology
IDN,Indonesia,exports_pct,Exports of goods and services,2008,A,29.80828,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,215,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,
IDN,Indonesia,exports_pct,Exports of goods and services,2009,A,24.15913,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,216,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,
IDN,Indonesia,exports_pct,Exports of goods and services,2010,A,24.29903094,percent_gdp,current,,unknown,B,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,217,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
IDN,Indonesia,exports_pct,Exports of goods and services,2011,A,26.32735309,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,218,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
IDN,Indonesia,exports_pct,Exports of goods and services,2012,A,24.59437879,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,219,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
IDN,Indonesia,exports_pct,Exports of goods and services,2013,A,23.92357638,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,220,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
IDN,Indonesia,exports_pct,Exports of goods and services,2014,A,23.66598459,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,221,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
IDN,Indonesia,exports_pct,Exports of goods and services,2015,A,21.16017926,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,222,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
IDN,Indonesia,exports_pct,Exports of goods and services,2016,A,19.08899385,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,223,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
IDN,Indonesia,exports_pct,Exports of goods and services,2017,A,20.17730444,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,224,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
IDN,Indonesia,exports_pct,Exports of goods and services,2018,A,21.0027465,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,225,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
IDN,Indonesia,exports_pct,Exports of goods and services,2019,A,18.59152779,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,226,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
IDN,Indonesia,exports_pct,Exports of goods and services,2020,A,17.33116829,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,227,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
IDN,Indonesia,exports_pct,Exports of goods and services,2021,A,21.41655564,percent_gdp,current,,observed,A,NEGS_XGDP_PS,ADB,"https://kidb.adb.org/api/v5/sdmx/data/ADB,DF_NA/A.NGDP_XDC+NGDP_R_XDC+NGDPVA_ISIC4_C_XDC+NEGS_XGDP_PS+NIGS_XGDP_PS.VIE+THA+INO+MAL+SIN?startPeriod=2005&format=sdmx-csv",DF_NA.csv,228,"2024, 2025: For 2024, data refer to preliminary figures. For 2025, data refer to very preliminary figures.",BPS Statistics Indonesia,Calendar Year,System of National Accounts - 2008
