DATAFLOW,FREQ,INDICATOR,ECONOMY_CODE,TIME_PERIOD,OBS_VALUE,UNIT,UNIT_MULT,DECIMALS,FOOTNOTE,OBS_STATUS,REF_YEAR,BASE_YEAR,DATA_SOURCE,METHODOLOGY
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2011,11306.907,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2012,12357.344,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2013,12915.159,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2014,13230.306,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2015,13743.478,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2016,14590.337,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2017,15488.664,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2018,16373.34,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2019,16889.174,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2020,15655.44,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2021,16182.001,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2022,17379.625,THB,9,0,,A,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2023,17993.197,THB,9,0,,P,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2024,18683.888,THB,9,0,,P,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,THA,2025,18973.709,THB,9,0,,P,Calendar Year,,National Economic and Social Development Council,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2005,914000.8385,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2006,1061564.519,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2007,1246769.289,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2008,1616047.129,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2009,1809148.95,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2010,2739843,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",B,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2011,3539881,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2012,4073762,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2013,4473656,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2014,4937032,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2015,5191324,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2016,5639401,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2017,6293905,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2018,7009042,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2019,7707200,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2020,8044386,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2021,8487475.6,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2022,9621371.8,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2023,10319058.9,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2024,11510328.9,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDP_XDC,VIE,2025,12847571.22,VND,9,0,"2005-2010: For 2000–2009, the GDP data series is based on unreassessed/unreevaluated scale. Starting 2010, the GDP data are based on the reevaluated scale.",A,Calendar Year,,National Statistics Office,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2005,760.3613,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2006,919.5393,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2007,1068.6539,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2008,1376.4417,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2009,1477.541,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2010,1512.7608,IDR,12,0,,B,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2011,1704.2505,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2012,1848.1509,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2013,2007.4268,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2014,2227.584,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2015,2418.8917,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2016,2545.2036,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2017,2739.7119,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2018,2947.4508,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2019,3119.5938,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2020,3068.0417,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2021,3266.9,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2022,3591.7747,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2023,3900.0617,IDR,12,0,,A,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2024,4202.8669,IDR,12,0,,P,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,INO,2025,4541.5196,IDR,12,0,,P,Calendar Year,,BPS Statistics Indonesia,System of National Accounts - 2008
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2005,149754,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2006,164510,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2007,173804,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2008,189105,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2009,169661,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2010,192493,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2011,212618,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2012,224730,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2013,232659,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2014,253087,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2015,262379.411,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2016,272395.854,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2017,299797.483,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2018,311675.695,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2019,323861.646,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2020,315360.117,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2021,361825.531,MYR,6,0,,A,Calendar Year,,Department of Statistics,
ADB:DF_NA(1.0),A,NGDPVA_ISIC4_C_XDC,MAL,2022,418897.899,MYR,6,0,,A,Calendar Year,,Department of Statistics,
